pc,pv,pm,pop_size,n_ger,run,best_fitness
0.5,0.7,0.05,200,200,6,448
0.5,0.7,0.05,200,200,7,449
0.5,0.7,0.05,200,200,8,467
0.5,0.7,0.05,200,200,9,461
0.5,0.7,0.1,100,100,0,497
0.5,0.7,0.1,100,100,1,474
0.5,0.7,0.1,100,100,2,524
0.5,0.7,0.1,100,100,3,486
0.5,0.7,0.1,100,100,4,490
0.5,0.7,0.1,100,100,5,506
0.5,0.7,0.1,100,100,6,466
0.5,0.7,0.1,100,100,7,491
0.5,0.7,0.1,100,100,8,482
0.5,0.7,0.1,100,100,9,487
0.5,0.7,0.1,100,200,0,446
0.5,0.7,0.1,100,200,1,462
0.5,0.7,0.1,100,200,2,480
0.5,0.7,0.1,100,200,3,429
0.5,0.7,0.1,100,200,4,468
0.5,0.7,0.1,100,200,5,452
0.5,0.7,0.1,100,200,6,509
0.5,0.7,0.1,100,200,7,475
0.5,0.7,0.1,100,200,8,487
0.5,0.7,0.1,100,200,9,507
0.5,0.7,0.1,200,100,0,476
0.5,0.7,0.1,200,100,1,464
0.5,0.7,0.1,200,100,2,449
0.5,0.7,0.1,200,100,3,441
0.5,0.7,0.1,200,100,4,445
0.5,0.7,0.1,200,100,5,461
0.5,0.7,0.1,200,100,6,466
0.5,0.7,0.1,200,100,7,439
0.5,0.7,0.1,200,100,8,464
0.5,0.7,0.1,200,100,9,466
0.5,0.7,0.1,200,200,0,478
0.5,0.7,0.1,200,200,1,479
0.5,0.7,0.1,200,200,2,424
0.5,0.7,0.1,200,200,3,429
0.5,0.7,0.1,200,200,4,450
0.5,0.7,0.1,200,200,5,461
0.5,0.7,0.1,200,200,6,462
0.5,0.7,0.1,200,200,7,501
0.5,0.7,0.1,200,200,8,467
0.5,0.7,0.1,200,200,9,483
0.5,0.9,0.01,100,100,0,291
0.5,0.9,0.01,100,100,1,315
0.5,0.9,0.01,100,100,2,299
0.5,0.9,0.01,100,100,3,291
0.5,0.9,0.01,100,100,4,331
0.5,0.9,0.01,100,100,5,313
0.5,0.9,0.01,100,100,6,291
0.5,0.9,0.01,100,100,7,291
0.5,0.9,0.01,100,100,8,307
0.5,0.9,0.01,100,100,9,431
0.5,0.9,0.01,100,200,0,291
0.5,0.9,0.01,100,200,1,291
0.5,0.9,0.01,100,200,2,291
0.5,0.9,0.01,100,200,3,291
0.5,0.9,0.01,100,200,4,291
0.5,0.9,0.01,100,200,5,291
0.5,0.9,0.01,100,200,6,291
0.5,0.9,0.01,100,200,7,291
0.5,0.9,0.01,100,200,8,291
0.5,0.9,0.01,100,200,9,291
0.5,0.9,0.01,200,100,0,291
0.5,0.9,0.01,200,100,1,291
0.5,0.9,0.01,200,100,2,291
0.5,0.9,0.01,200,100,3,321
0.5,0.9,0.01,200,100,4,295
0.5,0.9,0.01,200,100,5,291
0.5,0.9,0.01,200,100,6,291
0.5,0.9,0.01,200,100,7,291
0.5,0.9,0.01,200,100,8,337
0.5,0.9,0.01,200,100,9,291
0.5,0.9,0.01,200,200,0,291
0.5,0.9,0.01,200,200,1,291
0.5,0.9,0.01,200,200,2,291
0.5,0.9,0.01,200,200,3,291
0.5,0.9,0.01,200,200,4,291
0.5,0.9,0.01,200,200,5,291
0.5,0.9,0.01,200,200,6,291
0.5,0.9,0.01,200,200,7,291
0.5,0.9,0.01,200,200,8,291
0.5,0.9,0.01,200,200,9,291
0.5,0.9,0.05,100,100,0,411
0.5,0.9,0.05,100,100,1,321
0.5,0.9,0.05,100,100,2,291
0.5,0.9,0.05,100,100,3,291
0.5,0.9,0.05,100,100,4,346
0.5,0.9,0.05,100,100,5,385
0.5,0.9,0.05,100,100,6,291
0.5,0.9,0.05,100,100,7,291
0.5,0.9,0.05,100,100,8,299
0.5,0.9,0.05,100,100,9,331
0.5,0.9,0.05,100,200,0,291
0.5,0.9,0.05,100,200,1,291
0.5,0.9,0.05,100,200,2,291
0.5,0.9,0.05,100,200,3,291
0.5,0.9,0.05,100,200,4,291
0.5,0.9,0.05,100,200,5,291
0.5,0.9,0.05,100,200,6,291
0.5,0.9,0.05,100,200,7,291
0.5,0.9,0.05,100,200,8,291
0.5,0.9,0.05,100,200,9,291
0.5,0.9,0.05,200,100,0,321
0.5,0.9,0.05,200,100,1,314
0.5,0.9,0.05,200,100,2,291
0.5,0.9,0.05,200,100,3,291
0.5,0.9,0.05,200,100,4,333
0.5,0.9,0.05,200,100,5,315
0.5,0.9,0.05,200,100,6,291
0.5,0.9,0.05,200,100,7,307
0.5,0.9,0.05,200,100,8,317
0.5,0.9,0.05,200,100,9,446
0.5,0.9,0.05,200,200,0,291
0.5,0.9,0.05,200,200,1,291
0.5,0.9,0.05,200,200,2,291
0.5,0.9,0.05,200,200,3,291
